homeownership,verified_income,income_band,emp_length_bucket,state,borrower_segment_id
OWN,Not Verified,Lower-Mid,6-10,AL,1093
MORTGAGE,Source Verified,Lower-Mid,1-2,TX,1094
RENT,Source Verified,Low,0 or less,ND,1095
MORTGAGE,Not Verified,High,6-10,NV,1096
OWN,Verified,Low,0 or less,AL,1097
RENT,Verified,High,1-2,CA,1098
MORTGAGE,Not Verified,Lower-Mid,0 or less,OR,1099
MORTGAGE,Verified,High,6-10,SC,1100
RENT,Source Verified,Lower-Mid,1-2,IN,1101
MORTGAGE,Source Verified,High,3-5,LA,1102
MORTGAGE,Source Verified,Upper-Mid,3-5,NC,1103
RENT,Verified,Low,6-10,OH,1104
OWN,Verified,Low,6-10,TX,1105
OWN,Not Verified,Upper-Mid,,SC,1106
RENT,Verified,Low,,NY,1107
RENT,Not Verified,Lower-Mid,1-2,NM,1108
MORTGAGE,Source Verified,Low,3-5,SC,1109
MORTGAGE,Not Verified,High,0 or less,CA,1110
MORTGAGE,Source Verified,Upper-Mid,1-2,TX,1111
RENT,Not Verified,Lower-Mid,6-10,FL,1112
MORTGAGE,Not Verified,High,0 or less,TN,1113
MORTGAGE,Not Verified,Lower-Mid,3-5,CA,1114
MORTGAGE,Source Verified,High,0 or less,FL,1115
MORTGAGE,Not Verified,Upper-Mid,6-10,WV,1116
RENT,Not Verified,Low,0 or less,NY,1117
MORTGAGE,Verified,Lower-Mid,6-10,PA,1118
RENT,Verified,Lower-Mid,0 or less,WA,1119
OWN,Not Verified,Lower-Mid,6-10,AZ,1120
MORTGAGE,Source Verified,Lower-Mid,6-10,OR,1121
MORTGAGE,Source Verified,Low,6-10,NY,1122
MORTGAGE,Not Verified,Lower-Mid,,FL,1123
MORTGAGE,Source Verified,High,6-10,KS,1124
MORTGAGE,Source Verified,Low,6-10,TX,1125
MORTGAGE,Not Verified,Upper-Mid,6-10,SC,1126
RENT,Source Verified,Low,1-2,GA,1127
MORTGAGE,Verified,Upper-Mid,6-10,SC,1128
RENT,Not Verified,High,6-10,NJ,1129
OWN,Not Verified,High,1-2,NY,1130
OWN,Source Verified,High,6-10,WA,1131
RENT,Source Verified,Upper-Mid,1-2,MD,1132
RENT,Not Verified,Low,3-5,MN,1133
MORTGAGE,Source Verified,Low,0 or less,VA,1134
RENT,Verified,Low,,LA,1135
OWN,Not Verified,Upper-Mid,1-2,TX,1136
MORTGAGE,Source Verified,Upper-Mid,3-5,KY,1137
OWN,Source Verified,High,6-10,IL,1138
MORTGAGE,Not Verified,Low,6-10,MO,1139
RENT,Verified,Lower-Mid,6-10,AZ,1140
MORTGAGE,Not Verified,High,6-10,MN,1141
MORTGAGE,Not Verified,Low,1-2,KY,1142
RENT,Source Verified,Upper-Mid,3-5,AZ,1143
OWN,Not Verified,Upper-Mid,6-10,NJ,1144
OWN,Verified,Low,6-10,MD,1145
MORTGAGE,Not Verified,Upper-Mid,1-2,NJ,1146
MORTGAGE,Source Verified,Lower-Mid,1-2,PA,1147
OWN,Source Verified,Lower-Mid,6-10,VA,1148
MORTGAGE,Verified,Low,6-10,FL,1149
RENT,Verified,Low,3-5,NY,1150
MORTGAGE,Source Verified,Low,6-10,LA,1151
MORTGAGE,Verified,High,6-10,OR,1152
OWN,Not Verified,Lower-Mid,3-5,TN,1153
MORTGAGE,Verified,Upper-Mid,6-10,CA,1154
RENT,Not Verified,Low,1-2,MO,1155
RENT,Source Verified,Lower-Mid,1-2,MD,1156
MORTGAGE,Not Verified,Lower-Mid,,NH,1157
MORTGAGE,Verified,Upper-Mid,3-5,OR,1158
MORTGAGE,Not Verified,Lower-Mid,1-2,AZ,1159
RENT,Source Verified,Low,1-2,AL,1160
MORTGAGE,Source Verified,Lower-Mid,3-5,LA,1161
OWN,Source Verified,Upper-Mid,6-10,CT,1162
RENT,Source Verified,Low,3-5,MI,1163
OWN,Source Verified,Lower-Mid,6-10,NY,1164
RENT,Verified,Upper-Mid,1-2,WA,1165
RENT,Verified,Lower-Mid,6-10,WA,1166
RENT,Not Verified,,,IL,1167
MORTGAGE,Source Verified,Lower-Mid,3-5,NJ,1168
MORTGAGE,Not Verified,High,1-2,DC,1169
MORTGAGE,Verified,Upper-Mid,6-10,AK,1170
MORTGAGE,Verified,High,0 or less,IL,1171
MORTGAGE,Verified,Upper-Mid,0 or less,OH,1172
MORTGAGE,Source Verified,Lower-Mid,3-5,TX,1173
RENT,Not Verified,Low,,MO,1174
MORTGAGE,Source Verified,Low,,AR,1175
RENT,Verified,Lower-Mid,1-2,TX,1176
MORTGAGE,Source Verified,Upper-Mid,1-2,GA,1177
RENT,Verified,Lower-Mid,1-2,RI,1178
RENT,Verified,Low,6-10,VA,1179
OWN,Source Verified,Low,,CA,1180
MORTGAGE,Not Verified,Low,3-5,MN,1181
MORTGAGE,Source Verified,Lower-Mid,3-5,NE,1182
RENT,Source Verified,Low,3-5,TX,1183
RENT,Source Verified,High,3-5,MD,1184
OWN,Source Verified,Low,3-5,NM,1185
MORTGAGE,Not Verified,Low,,CO,1186
RENT,Verified,Lower-Mid,0 or less,TX,1187
MORTGAGE,Source Verified,Low,6-10,VA,1188
RENT,Not Verified,Low,1-2,WA,1189
RENT,Verified,Lower-Mid,6-10,PA,1190
RENT,Source Verified,Low,,NJ,1191
RENT,Source Verified,Lower-Mid,3-5,WA,1192
MORTGAGE,Source Verified,Lower-Mid,6-10,VA,1193
MORTGAGE,Verified,Low,3-5,MI,1194
RENT,Verified,Low,3-5,WI,1195
RENT,Verified,High,6-10,NY,1196
RENT,Not Verified,Lower-Mid,0 or less,NY,1197
OWN,Not Verified,Low,6-10,NY,1198
MORTGAGE,Source Verified,High,6-10,WI,1199
MORTGAGE,Not Verified,Upper-Mid,,NC,1200
MORTGAGE,Verified,High,3-5,MA,1201
MORTGAGE,Source Verified,Lower-Mid,3-5,VA,1202
MORTGAGE,Verified,,,TX,1203
OWN,Source Verified,High,6-10,FL,1204
RENT,Not Verified,High,6-10,MD,1205
OWN,Not Verified,Lower-Mid,6-10,IL,1206
OWN,Verified,Lower-Mid,1-2,WI,1207
MORTGAGE,Source Verified,Low,6-10,WI,1208
RENT,Not Verified,Upper-Mid,3-5,TX,1209
RENT,Not Verified,Lower-Mid,3-5,MN,1210
OWN,Verified,Low,1-2,CO,1211
MORTGAGE,Not Verified,Lower-Mid,6-10,NV,1212
MORTGAGE,Not Verified,Low,0 or less,RI,1213
OWN,Not Verified,High,1-2,FL,1214
OWN,Source Verified,High,6-10,CT,1215
MORTGAGE,Source Verified,Upper-Mid,3-5,GA,1216
RENT,Not Verified,High,1-2,NJ,1217
OWN,Source Verified,Lower-Mid,0 or less,NC,1218
MORTGAGE,Verified,Upper-Mid,3-5,TX,1219
OWN,Source Verified,Upper-Mid,6-10,FL,1220
MORTGAGE,Not Verified,High,1-2,IL,1221
MORTGAGE,Source Verified,Upper-Mid,3-5,UT,1222
MORTGAGE,Source Verified,Upper-Mid,3-5,MI,1223
RENT,Source Verified,Upper-Mid,6-10,MN,1224
RENT,Not Verified,High,3-5,FL,1225
RENT,Not Verified,Low,6-10,TN,1226
RENT,Verified,Low,3-5,NM,1227
OWN,Source Verified,Upper-Mid,,CA,1228
MORTGAGE,Verified,Upper-Mid,3-5,AZ,1229
MORTGAGE,Verified,High,6-10,GA,1230
RENT,Not Verified,High,6-10,NY,1231
MORTGAGE,Not Verified,High,3-5,ID,1232
RENT,Source Verified,Upper-Mid,6-10,TN,1233
RENT,Verified,Low,3-5,WA,1234
OWN,Verified,Lower-Mid,3-5,MI,1235
RENT,Verified,Upper-Mid,3-5,ME,1236
MORTGAGE,Source Verified,High,1-2,CO,1237
RENT,Not Verified,Low,6-10,OR,1238
OWN,Verified,Lower-Mid,1-2,NV,1239
OWN,Source Verified,Low,6-10,SC,1240
MORTGAGE,Not Verified,Lower-Mid,0 or less,LA,1241
MORTGAGE,Not Verified,Upper-Mid,3-5,SC,1242
MORTGAGE,Verified,Upper-Mid,3-5,SC,1243
MORTGAGE,Verified,Lower-Mid,3-5,MD,1244
MORTGAGE,Verified,Lower-Mid,6-10,WA,1245
RENT,Not Verified,Upper-Mid,3-5,MA,1246
RENT,Not Verified,Low,1-2,NJ,1247
RENT,Not Verified,Low,1-2,KY,1248
RENT,Verified,Low,1-2,OK,1249
OWN,Not Verified,Low,,WI,1250
MORTGAGE,Not Verified,Low,6-10,UT,1251
RENT,Source Verified,Upper-Mid,0 or less,VA,1252
RENT,Verified,Low,1-2,NH,1253
MORTGAGE,Verified,High,0 or less,NM,1254
MORTGAGE,Verified,Upper-Mid,6-10,MO,1255
MORTGAGE,Source Verified,High,0 or less,IL,1256
MORTGAGE,Verified,High,3-5,NY,1257
MORTGAGE,Verified,Lower-Mid,6-10,MO,1258
RENT,Not Verified,Lower-Mid,3-5,KS,1259
MORTGAGE,Verified,Upper-Mid,6-10,IN,1260
MORTGAGE,Verified,Low,6-10,NE,1261
OWN,Not Verified,High,6-10,VA,1262
OWN,Not Verified,,,TX,1263
OWN,Verified,Low,3-5,MO,1264
MORTGAGE,Source Verified,High,1-2,TX,1265
RENT,Source Verified,Upper-Mid,6-10,NH,1266
RENT,Source Verified,High,6-10,NJ,1267
RENT,Verified,Upper-Mid,3-5,TX,1268
RENT,Not Verified,Low,3-5,CT,1269
MORTGAGE,Not Verified,High,1-2,CO,1270
MORTGAGE,Source Verified,High,1-2,MO,1271
RENT,Source Verified,Lower-Mid,0 or less,PA,1272
RENT,Source Verified,High,6-10,HI,1273
RENT,Not Verified,Upper-Mid,6-10,AL,1274
OWN,Not Verified,Lower-Mid,,FL,1275
MORTGAGE,Source Verified,Upper-Mid,6-10,WY,1276
RENT,Not Verified,Upper-Mid,6-10,CT,1277
RENT,Source Verified,Low,6-10,SC,1278
MORTGAGE,Source Verified,High,1-2,NJ,1279
MORTGAGE,Verified,Low,1-2,TX,1280
RENT,Verified,Low,,PA,1281
RENT,Verified,Low,,FL,1282
MORTGAGE,Verified,Upper-Mid,6-10,MD,1283
RENT,Verified,Lower-Mid,6-10,IL,1284
RENT,Not Verified,Low,6-10,GA,1285
MORTGAGE,Not Verified,Lower-Mid,,GA,1286
MORTGAGE,Source Verified,Low,3-5,CO,1287
RENT,Source Verified,Upper-Mid,1-2,WI,1288
RENT,Source Verified,Low,0 or less,NC,1289
RENT,Not Verified,Lower-Mid,6-10,CT,1290
MORTGAGE,Verified,High,6-10,FL,1291
MORTGAGE,Verified,Lower-Mid,1-2,TX,1292
MORTGAGE,Verified,Upper-Mid,,MD,1293
MORTGAGE,Verified,Lower-Mid,3-5,SC,1294
RENT,Source Verified,Lower-Mid,3-5,MA,1295
RENT,Verified,Low,0 or less,CT,1296
MORTGAGE,Verified,Low,6-10,KY,1297
RENT,Not Verified,High,3-5,TX,1298
MORTGAGE,Source Verified,Low,1-2,CA,1299
MORTGAGE,Verified,Lower-Mid,6-10,VA,1300
MORTGAGE,Not Verified,Lower-Mid,6-10,OH,1301
OWN,Verified,Upper-Mid,,CA,1302
MORTGAGE,Verified,High,6-10,MD,1303
MORTGAGE,Not Verified,Low,1-2,MD,1304
MORTGAGE,Verified,High,6-10,WA,1305
RENT,Source Verified,High,6-10,PA,1306
OWN,Source Verified,Upper-Mid,1-2,DC,1307
RENT,Not Verified,Upper-Mid,0 or less,PA,1308
RENT,Verified,High,6-10,CA,1309
OWN,Not Verified,Low,3-5,CA,1310
MORTGAGE,Source Verified,Lower-Mid,0 or less,VA,1311
MORTGAGE,Source Verified,Upper-Mid,6-10,CT,1312
RENT,Source Verified,Low,6-10,NC,1313
RENT,Not Verified,Low,6-10,AZ,1314
MORTGAGE,Not Verified,Upper-Mid,,AZ,1315
MORTGAGE,Source Verified,High,3-5,IN,1316
RENT,Verified,Upper-Mid,3-5,CA,1317
MORTGAGE,Verified,Lower-Mid,,CA,1318
OWN,Source Verified,Upper-Mid,0 or less,NC,1319
OWN,Not Verified,Lower-Mid,6-10,WV,1320
MORTGAGE,Not Verified,Upper-Mid,6-10,NC,1321
RENT,Not Verified,Low,6-10,ME,1322
RENT,Source Verified,Low,1-2,NV,1323
MORTGAGE,Verified,Low,0 or less,MD,1324
OWN,Source Verified,Low,0 or less,RI,1325
OWN,Not Verified,Lower-Mid,6-10,PA,1326
RENT,Not Verified,Lower-Mid,,KS,1327
RENT,Source Verified,Lower-Mid,1-2,OK,1328
OWN,Verified,Upper-Mid,,NC,1329
MORTGAGE,Not Verified,Low,6-10,TX,1330
RENT,Not Verified,Upper-Mid,3-5,AZ,1331
OWN,Source Verified,Upper-Mid,1-2,MN,1332
RENT,Source Verified,Lower-Mid,3-5,MD,1333
MORTGAGE,Source Verified,High,6-10,WA,1334
MORTGAGE,Source Verified,Low,6-10,OR,1335
OWN,Source Verified,Upper-Mid,6-10,OH,1336
OWN,Verified,Low,,SC,1337
OWN,Not Verified,Upper-Mid,6-10,CA,1338
OWN,Not Verified,Low,,MS,1339
RENT,Source Verified,Lower-Mid,3-5,CO,1340
RENT,Verified,Upper-Mid,6-10,MN,1341
OWN,Not Verified,Lower-Mid,6-10,IN,1342
MORTGAGE,Source Verified,Upper-Mid,3-5,IL,1343
OWN,Verified,Low,6-10,NV,1344
MORTGAGE,Not Verified,Lower-Mid,3-5,PA,1345
RENT,Verified,Lower-Mid,0 or less,CA,1346
MORTGAGE,Verified,Low,,WI,1347
RENT,Source Verified,Upper-Mid,6-10,WI,1348
OWN,Not Verified,Low,3-5,LA,1349
MORTGAGE,Not Verified,Lower-Mid,6-10,NC,1350
OWN,Verified,Low,6-10,PA,1351
RENT,Not Verified,Lower-Mid,6-10,NC,1352
RENT,Not Verified,Upper-Mid,6-10,NJ,1353
MORTGAGE,Not Verified,Lower-Mid,3-5,FL,1354
MORTGAGE,Verified,High,0 or less,FL,1355
OWN,Not Verified,Low,3-5,CT,1356
MORTGAGE,Source Verified,High,1-2,VA,1357
RENT,Not Verified,Upper-Mid,3-5,KS,1358
MORTGAGE,Not Verified,Lower-Mid,1-2,NY,1359
RENT,Verified,Low,,NE,1360
OWN,Source Verified,Low,6-10,DE,1361
MORTGAGE,Not Verified,Upper-Mid,,CA,1362
RENT,Verified,Upper-Mid,1-2,CO,1363
MORTGAGE,Not Verified,Lower-Mid,3-5,DE,1364
MORTGAGE,Source Verified,Upper-Mid,1-2,MN,1365
OWN,Not Verified,Upper-Mid,6-10,PA,1366
MORTGAGE,Not Verified,High,0 or less,WA,1367
MORTGAGE,Verified,Lower-Mid,6-10,KY,1368
MORTGAGE,Not Verified,High,3-5,MI,1369
MORTGAGE,Not Verified,Upper-Mid,3-5,AL,1370
RENT,Not Verified,Low,1-2,NC,1371
MORTGAGE,Source Verified,High,6-10,ND,1372
RENT,Verified,Upper-Mid,1-2,DE,1373
RENT,Verified,Lower-Mid,1-2,WI,1374
MORTGAGE,Verified,Upper-Mid,,CO,1375
MORTGAGE,Not Verified,High,3-5,CA,1376
MORTGAGE,Not Verified,High,3-5,NY,1377
RENT,Not Verified,Upper-Mid,6-10,OH,1378
RENT,Source Verified,Lower-Mid,6-10,RI,1379
MORTGAGE,Not Verified,Upper-Mid,6-10,TN,1380
MORTGAGE,Verified,Lower-Mid,0 or less,MD,1381
MORTGAGE,Not Verified,Low,6-10,VT,1382
MORTGAGE,Source Verified,Lower-Mid,,WV,1383
RENT,Source Verified,Lower-Mid,3-5,CT,1384
RENT,Verified,Upper-Mid,3-5,NY,1385
MORTGAGE,Source Verified,Upper-Mid,6-10,PA,1386
RENT,Verified,Low,0 or less,OH,1387
MORTGAGE,Not Verified,High,6-10,OR,1388
MORTGAGE,Not Verified,Upper-Mid,6-10,NV,1389
MORTGAGE,Not Verified,Lower-Mid,6-10,VT,1390
MORTGAGE,Source Verified,High,1-2,OR,1391
OWN,Source Verified,Low,6-10,NY,1392
RENT,Verified,Low,,ID,1393
MORTGAGE,Source Verified,High,3-5,KS,1394
MORTGAGE,Not Verified,Upper-Mid,1-2,CT,1395
OWN,Not Verified,Upper-Mid,3-5,CO,1396
MORTGAGE,Not Verified,Low,1-2,NV,1397
MORTGAGE,Not Verified,Lower-Mid,1-2,SD,1398
MORTGAGE,Verified,Lower-Mid,3-5,NC,1399
MORTGAGE,Source Verified,Lower-Mid,6-10,MA,1400
MORTGAGE,Not Verified,Low,6-10,NY,1401
OWN,Not Verified,Low,6-10,MS,1402
OWN,Verified,Upper-Mid,3-5,TX,1403
RENT,Verified,Lower-Mid,3-5,VA,1404
OWN,Source Verified,Lower-Mid,3-5,CA,1405
RENT,Not Verified,Lower-Mid,0 or less,WI,1406
MORTGAGE,Verified,Low,6-10,WY,1407
MORTGAGE,Verified,Upper-Mid,1-2,FL,1408
RENT,Verified,Upper-Mid,6-10,MD,1409
OWN,Verified,Upper-Mid,3-5,MD,1410
RENT,Source Verified,High,6-10,OK,1411
MORTGAGE,Not Verified,High,3-5,MA,1412
MORTGAGE,Not Verified,Low,1-2,UT,1413
MORTGAGE,Not Verified,Upper-Mid,6-10,MN,1414
RENT,Not Verified,Lower-Mid,3-5,NJ,1415
OWN,Source Verified,Lower-Mid,,MD,1416
RENT,Not Verified,Lower-Mid,6-10,RI,1417
MORTGAGE,Verified,Low,6-10,MD,1418
OWN,Not Verified,Upper-Mid,1-2,GA,1419
RENT,Source Verified,Lower-Mid,0 or less,WA,1420
OWN,Source Verified,Upper-Mid,6-10,MI,1421
MORTGAGE,Source Verified,High,3-5,TN,1422
MORTGAGE,Verified,Low,,CO,1423
MORTGAGE,Verified,Low,1-2,MO,1424
RENT,Verified,Lower-Mid,6-10,ID,1425
RENT,Not Verified,Low,3-5,MD,1426
MORTGAGE,Verified,Lower-Mid,1-2,NE,1427
RENT,Not Verified,Upper-Mid,0 or less,CA,1428
MORTGAGE,Verified,Low,1-2,NV,1429
RENT,Source Verified,Low,6-10,KS,1430
RENT,Verified,High,3-5,NC,1431
MORTGAGE,Source Verified,High,1-2,WA,1432
MORTGAGE,Not Verified,Low,6-10,CT,1433
RENT,Source Verified,High,6-10,FL,1434
OWN,Verified,Lower-Mid,6-10,OH,1435
RENT,Verified,Low,,OH,1436
OWN,Not Verified,Low,6-10,PA,1437
MORTGAGE,Source Verified,High,0 or less,NC,1438
RENT,Not Verified,High,1-2,CT,1439
MORTGAGE,Not Verified,Low,6-10,KS,1440
RENT,Source Verified,Lower-Mid,6-10,WY,1441
RENT,Verified,Lower-Mid,6-10,NC,1442
MORTGAGE,Verified,Low,,SD,1443
MORTGAGE,Verified,High,0 or less,NC,1444
RENT,Not Verified,Upper-Mid,6-10,TX,1445
MORTGAGE,Source Verified,High,1-2,CT,1446
RENT,Source Verified,Low,,IN,1447
RENT,Not Verified,Lower-Mid,1-2,SC,1448
RENT,Not Verified,High,6-10,OH,1449
MORTGAGE,Source Verified,Low,,NJ,1450
MORTGAGE,Source Verified,Lower-Mid,6-10,IL,1451
RENT,Source Verified,Lower-Mid,3-5,OR,1452
OWN,Source Verified,Low,1-2,NC,1453
MORTGAGE,Source Verified,Low,0 or less,OK,1454
MORTGAGE,Not Verified,Low,6-10,OH,1455
RENT,Not Verified,Lower-Mid,3-5,VA,1456
MORTGAGE,Not Verified,Upper-Mid,3-5,WY,1457
RENT,Not Verified,High,6-10,VA,1458
MORTGAGE,Source Verified,Upper-Mid,3-5,FL,1459
RENT,Verified,Upper-Mid,1-2,IL,1460
RENT,Verified,Lower-Mid,1-2,GA,1461
OWN,Source Verified,Low,3-5,FL,1462
MORTGAGE,Source Verified,Low,1-2,AZ,1463
RENT,Source Verified,Upper-Mid,1-2,NJ,1464
MORTGAGE,Verified,High,6-10,MN,1465
OWN,Source Verified,High,3-5,LA,1466
OWN,Verified,High,3-5,MD,1467
MORTGAGE,Verified,High,3-5,LA,1468
RENT,Source Verified,Lower-Mid,1-2,OR,1469
RENT,Verified,Upper-Mid,0 or less,MA,1470
RENT,Not Verified,High,1-2,NC,1471
RENT,Source Verified,Lower-Mid,1-2,OH,1472
RENT,Verified,Lower-Mid,,NY,1473
RENT,Verified,Lower-Mid,,IL,1474
RENT,Source Verified,Lower-Mid,6-10,WI,1475
RENT,Verified,Low,6-10,WV,1476
MORTGAGE,Verified,High,6-10,CT,1477
RENT,Source Verified,Upper-Mid,3-5,IN,1478
OWN,Verified,Lower-Mid,6-10,AR,1479
RENT,Verified,Low,1-2,VA,1480
RENT,Source Verified,Lower-Mid,1-2,NC,1481
RENT,Source Verified,High,3-5,WA,1482
OWN,Not Verified,Low,,MI,1483
RENT,Verified,High,6-10,KY,1484
RENT,Not Verified,Upper-Mid,1-2,NJ,1485
MORTGAGE,Source Verified,Low,1-2,NY,1486
MORTGAGE,Verified,Low,1-2,MN,1487
RENT,Verified,Low,6-10,IL,1488
MORTGAGE,Not Verified,Lower-Mid,6-10,MI,1489
MORTGAGE,Not Verified,High,3-5,MD,1490
MORTGAGE,Verified,Lower-Mid,6-10,NV,1491
RENT,Verified,Low,1-2,FL,1492
MORTGAGE,Verified,Lower-Mid,,NY,1493
OWN,Source Verified,Lower-Mid,3-5,GA,1494
RENT,Not Verified,Upper-Mid,0 or less,TN,1495
RENT,Verified,Lower-Mid,1-2,MT,1496
RENT,Source Verified,Low,3-5,OH,1497
MORTGAGE,Verified,Lower-Mid,3-5,UT,1498
MORTGAGE,Not Verified,Upper-Mid,1-2,WI,1499
OWN,Source Verified,Upper-Mid,3-5,NY,1500
OWN,Not Verified,Lower-Mid,,WV,1501
MORTGAGE,Source Verified,Low,3-5,TX,1502
RENT,Not Verified,Low,1-2,CO,1503
OWN,Not Verified,Upper-Mid,6-10,RI,1504
RENT,Verified,Lower-Mid,6-10,CA,1505
MORTGAGE,Source Verified,Upper-Mid,3-5,MN,1506
OWN,Verified,Lower-Mid,3-5,TX,1507
MORTGAGE,Verified,Upper-Mid,6-10,TN,1508
MORTGAGE,Source Verified,Lower-Mid,3-5,MA,1509
MORTGAGE,Source Verified,Lower-Mid,1-2,KS,1510
RENT,Not Verified,Lower-Mid,6-10,NV,1511
MORTGAGE,Verified,Lower-Mid,6-10,ID,1512
OWN,Not Verified,High,6-10,TN,1513
MORTGAGE,Source Verified,Lower-Mid,3-5,KY,1514
MORTGAGE,Source Verified,High,,CA,1515
MORTGAGE,Source Verified,High,0 or less,ID,1516
OWN,Source Verified,High,3-5,FL,1517
OWN,Not Verified,Lower-Mid,6-10,MI,1518
RENT,Not Verified,Low,0 or less,PA,1519
RENT,Source Verified,Lower-Mid,6-10,MA,1520
MORTGAGE,Not Verified,Upper-Mid,1-2,TN,1521
OWN,Source Verified,High,6-10,AL,1522
RENT,Not Verified,Low,6-10,NC,1523
OWN,Not Verified,Low,3-5,IN,1524
RENT,Verified,Low,6-10,WA,1525
RENT,Verified,Low,1-2,CA,1526
RENT,Not Verified,Lower-Mid,1-2,AZ,1527
MORTGAGE,Source Verified,Low,6-10,PA,1528
OWN,Verified,Low,,OH,1529
RENT,Not Verified,Low,3-5,NC,1530
OWN,Not Verified,Lower-Mid,6-10,OH,1531
OWN,Verified,Low,,KS,1532
RENT,Verified,High,6-10,SC,1533
OWN,Source Verified,Low,1-2,TX,1534
RENT,Not Verified,Upper-Mid,3-5,GA,1535
OWN,Source Verified,Low,3-5,NC,1536
MORTGAGE,Not Verified,Low,,AZ,1537
MORTGAGE,Not Verified,Low,1-2,ME,1538
OWN,Not Verified,Lower-Mid,,NY,1539
MORTGAGE,Source Verified,Lower-Mid,,CA,1540
RENT,Source Verified,Low,3-5,AR,1541
MORTGAGE,Not Verified,High,1-2,PA,1542
MORTGAGE,Verified,Low,6-10,WV,1543
MORTGAGE,Source Verified,Low,6-10,MN,1544
MORTGAGE,Verified,Lower-Mid,,AL,1545
MORTGAGE,Not Verified,Low,,NC,1546
MORTGAGE,Verified,Lower-Mid,6-10,MD,1547
MORTGAGE,Source Verified,Low,0 or less,CA,1548
OWN,Source Verified,Upper-Mid,3-5,CA,1549
OWN,Source Verified,Lower-Mid,3-5,NJ,1550
OWN,Verified,Low,,CA,1551
RENT,Source Verified,High,1-2,IL,1552
OWN,Source Verified,Upper-Mid,3-5,MA,1553
MORTGAGE,Not Verified,Low,,FL,1554
MORTGAGE,Verified,Upper-Mid,1-2,MI,1555
RENT,Not Verified,High,3-5,NY,1556
RENT,Verified,Lower-Mid,,FL,1557
MORTGAGE,Verified,Low,,WV,1558
MORTGAGE,Source Verified,High,1-2,TN,1559
MORTGAGE,Source Verified,Upper-Mid,3-5,RI,1560
OWN,Not Verified,High,3-5,CA,1561
MORTGAGE,Source Verified,Lower-Mid,,WA,1562
MORTGAGE,Source Verified,Lower-Mid,1-2,GA,1563
OWN,Not Verified,Upper-Mid,6-10,IL,1564
OWN,Source Verified,Low,3-5,PA,1565
MORTGAGE,Verified,High,0 or less,NE,1566
OWN,Source Verified,High,6-10,KY,1567
MORTGAGE,Source Verified,High,3-5,VA,1568
RENT,Source Verified,Low,6-10,OR,1569
MORTGAGE,Source Verified,Upper-Mid,0 or less,CT,1570
MORTGAGE,Not Verified,Lower-Mid,6-10,MA,1571
MORTGAGE,Verified,Low,6-10,ID,1572
OWN,Not Verified,Lower-Mid,6-10,CA,1573
RENT,Source Verified,Lower-Mid,6-10,PA,1574
MORTGAGE,Not Verified,Upper-Mid,3-5,CT,1575
OWN,Not Verified,Upper-Mid,6-10,TX,1576
RENT,Not Verified,Upper-Mid,3-5,AL,1577
OWN,Not Verified,High,3-5,SC,1578
RENT,Source Verified,High,0 or less,TX,1579
MORTGAGE,Verified,Upper-Mid,1-2,MO,1580
RENT,Verified,Low,6-10,TX,1581
MORTGAGE,Verified,High,3-5,AZ,1582
OWN,Verified,Lower-Mid,,NY,1583
RENT,Not Verified,Low,6-10,WA,1584
RENT,Not Verified,Upper-Mid,0 or less,KS,1585
MORTGAGE,Verified,Upper-Mid,,MS,1586
MORTGAGE,Source Verified,High,6-10,SC,1587
MORTGAGE,Source Verified,Upper-Mid,0 or less,MA,1588
RENT,Verified,High,1-2,TX,1589
MORTGAGE,Verified,Low,6-10,MA,1590
OWN,Verified,Upper-Mid,6-10,NY,1591
RENT,Not Verified,,,TX,1592
MORTGAGE,Not Verified,Low,3-5,MT,1593
OWN,Not Verified,Lower-Mid,6-10,TN,1594
RENT,Source Verified,Low,0 or less,FL,1595
RENT,Not Verified,,,CA,1596
MORTGAGE,Not Verified,Low,6-10,PA,1597
MORTGAGE,Verified,Upper-Mid,3-5,FL,1598
OWN,Not Verified,Low,,AZ,1599
MORTGAGE,Not Verified,Lower-Mid,1-2,FL,1600
MORTGAGE,Not Verified,Lower-Mid,6-10,MN,1601
RENT,Source Verified,Lower-Mid,6-10,MD,1602
RENT,Source Verified,Upper-Mid,,CT,1603
MORTGAGE,Not Verified,Upper-Mid,6-10,NE,1604
RENT,Source Verified,High,1-2,AZ,1605
RENT,Source Verified,Lower-Mid,1-2,NM,1606
RENT,Verified,Low,,SC,1607
RENT,Source Verified,Low,1-2,WI,1608
MORTGAGE,Source Verified,Lower-Mid,,NV,1609
MORTGAGE,Not Verified,Lower-Mid,,CA,1610
MORTGAGE,Source Verified,Lower-Mid,1-2,MD,1611
MORTGAGE,Verified,Upper-Mid,3-5,WI,1612
RENT,Source Verified,Low,0 or less,NJ,1613
MORTGAGE,Verified,Low,6-10,PA,1614
RENT,Not Verified,Lower-Mid,6-10,MD,1615
MORTGAGE,Verified,High,6-10,LA,1616
MORTGAGE,Verified,High,1-2,GA,1617
RENT,Source Verified,Lower-Mid,6-10,NV,1618
MORTGAGE,Source Verified,Low,6-10,OH,1619
OWN,Source Verified,High,6-10,NV,1620
MORTGAGE,Verified,High,1-2,CO,1621
MORTGAGE,Verified,Lower-Mid,6-10,FL,1622
RENT,Source Verified,Upper-Mid,3-5,MA,1623
MORTGAGE,Verified,Upper-Mid,6-10,MI,1624
